case_id,group,terminal_status,evaluation_status,provider_requests,provider_outcome,finish_reason,provider_error_codes,prompt_tokens,completion_tokens,total_tokens,cache_hit_tokens,cache_miss_tokens,usage_events,usage_missing,reported_completion_over_configured_limit,action,developer_fixture_action_match,locatable_references,reference_count,synthetic_attempt_seeds,elapsed_ms,terminal_failure_code,evaluation_failure_code
DSDEV-001,A,failed,failed_truncated,1,finish_reason_length,length,model_truncated,1998,512,2510,1792,206,1,False,False,ask,True,0,0,0,5094.0,runtime_error,model_truncated
DSDEV-001,B,completed,failed_truncated,1,finish_reason_length,length,model_truncated,2218,512,2730,2048,170,1,False,False,teach,True,5,5,0,4704.0,,model_truncated
DSDEV-001,C,completed,failed_truncated,1,finish_reason_length,length,model_truncated,2218,512,2730,2048,170,1,False,False,teach,True,5,5,3,4563.0,,model_truncated
DSDEV-002,A,failed,failed_truncated,1,finish_reason_length,length,model_truncated,1912,512,2424,1664,248,1,False,False,ask,True,0,0,0,4797.0,runtime_error,model_truncated
DSDEV-002,B,completed,completed,1,completed,stop,,141,494,635,0,141,1,False,False,ask,True,5,5,0,4843.0,,
DSDEV-002,C,completed,failed_truncated,1,finish_reason_length,length,model_truncated,141,512,653,0,141,1,False,False,ask,True,5,5,3,3953.0,,model_truncated
DSDEV-006,A,failed,failed_truncated,1,finish_reason_length,length,model_truncated,1883,512,2395,1664,219,1,False,False,ask,True,0,0,0,4297.0,runtime_error,model_truncated
DSDEV-006,B,completed,completed,1,completed,stop,,155,398,553,0,155,1,False,False,ask,True,5,5,0,3313.0,,
DSDEV-006,C,completed,failed_truncated,1,finish_reason_length,length,model_truncated,155,512,667,0,155,1,False,False,ask,True,5,5,3,4937.0,,model_truncated
DSDEV-007,A,failed,failed_truncated,1,finish_reason_length,length,model_truncated,1525,512,2037,1280,245,1,False,False,ask,True,0,0,0,4344.0,runtime_error,model_truncated
DSDEV-007,B,completed,failed_truncated,1,finish_reason_length,length,model_truncated,148,512,660,0,148,1,False,False,ask,True,5,5,0,5422.0,,model_truncated
DSDEV-007,C,completed,failed_truncated,1,finish_reason_length,length,model_truncated,148,512,660,0,148,1,False,False,ask,True,5,5,3,4891.0,,model_truncated
DSDEV-011,A,completed,not_applicable,0,not_called,,,0,0,0,0,0,0,False,False,evidence_gap,True,0,0,0,31.0,,
DSDEV-011,B,completed,not_applicable,0,not_called,,,0,0,0,0,0,0,False,False,reflect,False,0,0,0,657.0,,
DSDEV-011,C,completed,not_applicable,0,not_called,,,0,0,0,0,0,0,False,False,reflect,False,0,0,3,687.0,,
DSDEV-012,A,completed,not_applicable,0,not_called,,,0,0,0,0,0,0,False,False,evidence_gap,True,0,0,0,16.0,,
DSDEV-012,B,completed,not_applicable,0,not_called,,,0,0,0,0,0,0,False,False,reflect,False,0,0,0,672.0,,
DSDEV-012,C,completed,not_applicable,0,not_called,,,0,0,0,0,0,0,False,False,reflect,False,0,0,3,688.0,,
DSDEV-016,A,failed,failed_truncated,1,finish_reason_length,length,model_truncated,1384,512,1896,1152,232,1,False,False,ask,True,0,0,0,5328.0,runtime_error,model_truncated
DSDEV-016,B,completed,failed_truncated,1,finish_reason_length,length,model_truncated,145,512,657,0,145,1,False,False,ask,True,5,5,0,5437.0,,model_truncated
DSDEV-016,C,completed,completed,1,completed,stop,,145,358,503,0,145,1,False,False,ask,True,5,5,3,3422.0,,
DSDEV-017,A,failed,failed_truncated,1,finish_reason_length,length,model_truncated,1745,512,2257,1536,209,1,False,False,ask,True,0,0,0,3719.0,runtime_error,model_truncated
DSDEV-017,B,completed,failed_truncated,1,finish_reason_length,length,model_truncated,144,512,656,0,144,1,False,False,ask,True,5,5,0,3907.0,,model_truncated
DSDEV-017,C,completed,failed_truncated,1,finish_reason_length,length,model_truncated,144,512,656,0,144,1,False,False,ask,True,5,5,3,5547.0,,model_truncated
DSDEV-021,A,failed,failed_truncated,1,finish_reason_length,length,model_truncated,1964,512,2476,1792,172,1,False,False,ask,True,0,0,0,3813.0,runtime_error,model_truncated
DSDEV-021,B,completed,failed_truncated,1,finish_reason_length,length,,152,512,664,0,152,1,False,False,ask,True,5,5,0,5063.0,,model_truncated
DSDEV-021,C,completed,not_applicable,0,not_called,,,0,0,0,0,0,0,False,False,hint,True,5,5,3,719.0,,
DSDEV-026,A,failed,failed_truncated,1,finish_reason_length,length,model_truncated,2032,512,2544,1792,240,1,False,False,ask,True,0,0,0,4344.0,runtime_error,model_truncated
DSDEV-026,B,completed,failed_truncated,1,finish_reason_length,length,,150,512,662,0,150,1,False,False,ask,True,5,5,0,3969.0,,model_truncated
